Name,Address,Lat,Lon,Category,Reviews
Thuy's Pho House,"112 Madison Ave N Bainbridge Island, WA 98110",47.6251862,-122.5209757,vietnamese,26
Rose Pho,"19865 1st Ave S Ste 302 Normandy Park, WA 98198",47.4237274,-122.3353261,vietnamese,159
Long Provincial Vietnamese,"1901 2nd Ave Downtown Seattle, WA 98101",47.6109427,-122.3408038,vietnamese,528
Green Leaf Vietnamese Restaurant,"418 8th Ave S International District Seattle, WA 98104",47.5985935,-122.3222506,vietnamese,856
Yeh Yeh's,"14339 NE 20th St Ste D Bellevue, WA 98007",47.6273891,-122.1489339,vietnamese,227
Pacific Ocean Vietnamese Restaurant,"18126 E Valley Hwy Kent, WA 98032",47.4394282,-122.2206686,vietnamese,55
Huong Duong,"7136 Martin Luther King Junior Way S Beacon Hill Seattle, WA 98118",47.5377476,-122.2809761,vietnamese,65
Green Leaf Vietnamese Restaurant,"2800 1st Ave Belltown Seattle, WA 98121",47.6168451,-122.3518938,vietnamese,210
Pho An,"12526 Lake City Way NE Seattle, WA 98125",47.7201206,-122.2943634,vietnamese,159
Bamboo,"345 15th Ave E Capitol Hill Seattle, WA 98112",47.6217721,-122.3130155,vietnamese,120
Tamarind Tree,"1036 S Jackson St Ste A International District Seattle, WA 98104",47.599212,-122.3278253,vietnamese,872
Asian Flame Bistro,"12752 Aurora Ave N Haller Lake Seattle, WA 98133",47.722062,-122.34458,vietnamese,39
Hue Ky Mi Gia,"1207 S Jackson St Ste 101 International District Seattle, WA 98144",47.5988709,-122.3163755,vietnamese,311
Square Lotus,"3540 Factoria Blvd SE Bellevue, WA 98006",47.5793221,-122.1672154,vietnamese,303
The Monkey Bridge,"1723 NW Market St Ballard Seattle, WA 98107",47.6684099,-122.3798212,vietnamese,359
Watercress Vietnamese Bistro,"5041 Rainier Ave S Columbia City Seattle, WA 98118",47.5559893,-122.2842903,vietnamese,52
Mekong Village,"12020 Aurora Ave N Haller Lake Seattle, WA 98133",47.7166898,-122.3443861,vietnamese,201
Thanh Vi,"4226 University Way NE University District Seattle, WA 98105",47.6591327,-122.3128987,vietnamese,285
Pho Bac,"1809 Minor Ave Denny Triangle Seattle, WA 98101",47.6084921,-122.336407,vietnamese,147
Le's Pho Tai,"15210 Aurora Ave N Seattle, WA 98133",47.739473,-122.3440312,vietnamese,98
Local Pho,"2230 3rd Ave Belltown Seattle, WA 98121",47.6146805,-122.3444413,vietnamese,176
Banh Mi Unwrapped,"4725 University Way NE University District Seattle, WA 98105",47.6638562,-122.3135354,vietnamese,115
Plume,"117 Kirkland Ave Ste 117 Kirkland, WA 98033",47.675407,-122.2056113,vietnamese,119
Pho Viet Anh,"372 Roy St Lower Queen Anne Seattle, WA 98109",47.6256238,-122.349127,vietnamese,390
Bol Pho Bistro,"918 NE 64th St Roosevelt Seattle, WA 98115",47.6751096,-122.3178529,vietnamese,116
Pho Aroma,"5605 Delridge Way SW Ste A Cottage Grove Seattle, WA 98106",47.5543465,-122.3652372,vietnamese,212
Pho Vietnam,"7040 15th Ave NW Phinney Ridge Seattle, WA 98117",47.6807238,-122.3765524,vietnamese,105
Ben Thanh Restaurant,"2815 S Hanford St Columbia City Seattle, WA 98144",47.5747328,-122.2957606,vietnamese,84
Pho Ever,"12015 NE 8th St Ste 6 Bellevue, WA 98005",47.6169987,-122.1792886,vietnamese,101
Yummy Pho Vietnamese Restaurant,"8920 161st Ave NE Redmond, WA 98052",47.6815535,-122.1255024,vietnamese,190
DM Cafe & Deli,"230 6th Ave N South Lake Union Seattle, WA 98109",47.6207254,-122.3448354,vietnamese,29
Saigon Boat Café,"2632 Alki Ave SW Alki Seattle, WA 98116",47.5799881,-122.4077068,vietnamese,88
Vietnam Cafe & Sandwich,"5701 15th Ave NW Ballard Seattle, WA 98107",47.6703625,-122.3764708,vietnamese,30
Pho Big Bowl,"2248 NW Market St Ballard Seattle, WA 98107",47.6689447,-122.3868535,vietnamese,243
Yeh Yeh's,"19915 64th Ave W Ste 101 Lynnwood, WA 98036",47.818113,-122.3192028,vietnamese,320
Curbside,"3 W Nickerson St Queen Anne Seattle, WA 98119",47.6496833,-122.358081,vietnamese,33
Stateside,"300 E Pike St Ste 1200 First Hill Seattle, WA 98122",47.6141055,-122.3273066,vietnamese,93
Saigon Sunset,"2832 NE Sunset Blvd Renton, WA 98056",47.5018806,-122.1808332,vietnamese,99
